Films;Note Globale
Valentin Valentin;3.0
Valentine's Day;2.5
Vampires;2.6
Vers la révolution en 2CV;3.3
Vert Paradis;3.3
Vertiges de l'amour;2.9
Very Bad Cops;3.3
Very Bad Things;2.9
Very Bad Trip;3.7
Very Bad Trip 2;2.3
Very Bad Trip 3;2.3
Very Cold Trip;2.7
Vice Versa;4.7
Vicky;2.6
Vicky Cristina Barcelona;3.9
Victoire;2.6
Victor;2.4
Vieilles Canailles;3.5
Vilaine;2.4
Virgil;3.1
Viva La Libertà;3.2
Vive la France;1.8
Vive la crise !;2.7
Vive la vie;2.3
Vive les vacances;2.3
Vive nous !;2.2
Voisins du troisième type;2.6
Voisins, voisines;3.5
Volt, star malgré lui;3.9
Votre majesté;1.9
Vous allez rencontrer un bel et sombre inconnu;3.5
Voyance et manigance;2.6
Wackness;3.1
Waiter!;3.1
Waitress;3.4
Wallace et Gromit : le Mystère du lapin-garou;4.9
Wanted;2.6
War Dogs;3.4
Warm Bodies;3.3
Wasabi - La petite moutarde qui monte au nez;3.0
We Want Sex Equality;3.7
We are the best!;3.2
Week-end Royal;2.8
Welcome Home;3.4
West Coast;2.1
Whatever Works;3.9
White Night Wedding;2.6
Whiteboys;3.0
Wild Generation;2.9
Winnipeg mon amour;4.4
Woman on the Beach;4.2
Workers;3.8
Wrong;3.1
Wrong Cops;3.0
Y a-t-il un flic pour sauver l'humanité ?;2.0
Yamakasi;3.0
Yes Man;3.2
Yogi l'ours;2.3
You Kill Me;3.2
Young Adult;3.0
Youth;3.6
Ze Film;3.3
Zim and co.;3.6
Zombillénium;3.4
Zoolander;3.4
Zoolander 2;2.4
Zoom;2.6
Zootopie;4.0
Zouzou;2.3
¡Salsa!;3.1
À bras ouverts;1.8
À fond;2.9
À la rencontre de Forrester;3.4
Ôtez-moi d'un doute;3.4
