Films;Note Globale
Fatal;2.8
Faussaire;3.4
Faut pas lui dire;2.9
Fauteuils d'orchestre;3.2
Favelas;2.8
Felicidad;3.2
Fido;3.2
Filles perdues, cheveux gras;2.8
Fils de;2.8
Fin de partie;3.7
Five;3.0
Flagrant délire;2.7
Flic de haut vol;2.7
Florence Foster Jenkins;3.5
Fonzy;2.4
Fool Moon;2.5
Foon;2.4
For Your Consideration;2.9
Fous d'Irène;3.8
France boutique;2.9
Frangins malgré eux;3.9
Frank;2.7
Frankenweenie;3.8
Frankie Wilde;2.6
Freaky Friday dans la peau de ma mère;3.2
Free Fire;2.7
Freestyle;3.1
Friends With Kids;2.2
Friends With Money;2.4
Fright Night;2.4
Frogz;1.6
Frère Noël;1.5
Gaby Baby Doll;2.8
Galaxy Quest;3.6
Gambit, arnaque à l’anglaise;2.5
Gamer;2.4
Gang de requins;2.8
Gangsterdam;2.0
Gangsters, Sex & Karaoke;2.2
Garfield 2;1.8
Gary & Linda;3.1
Gaz de France;2.9
Gemma Bovery;3.4
Gentille;3.6
Georges le petit curieux;3.1
Gerontophilia;3.5
Getting Any ?;3.1
Gianni et les femmes;3.3
Gigante;3.7
Gigantic;3.0
Girl Next Door;2.9
Girls Only;3.2
Girls Will Be Girls;2.5
Gloria;3.7
Glory to the Filmmaker !;3.1
Gloups ! je suis un poisson;3.7
Gnomeo et Juliette;2.7
Go;2.9
Go Go Tales;3.1
God Bless America;3.1
Going To Brazil;2.6
Gomez & Tavarès;2.9
Gomez VS Tavarès;1.4
Good Luck Algeria;3.7
Good Morning England;3.7
Goodbye Lover;3.0
Goodbye Solo;3.7
Gosford Park;4.2
Grabuge !;2.9
Grill point;3.6
Grimsby - Agent trop spécial;2.8
Grégoire Moulin contre l'humanité;2.8
Guibord s'en va-t-en guerre;3.4
H2G2 : le guide du voyageur galactique;3.5
HS Hors Service;2.5
Hairspray;3.0
Halal police d'Etat;2.8
Hancock;2.8
Hannah Montana, le film;1.8
Hanté par ses ex;2.0
Happy Accidents;3.1
Happy Christmas !;2.7
Happy Ever Afters;1.6
Happy Feet 2;2.9
Happy Times;3.4
Happy, Texas;3.3
Harold et Kumar s'évadent de Guantanamo;2.3
Heavy Girls;2.9
Hello Goodbye;1.5
Hellphone;2.7
Henry;1.8
Hey, Happy !;2.8
Hibou;3.4
High Fidelity;3.5
Histoire de fantômes chinois;3.0
Histoires enchantées;2.1
Hit and run;1.8
Hitch - Expert en séduction;3.0
Hitman & Bodyguard;2.8
Holiday;2.4
Hollywood Ending;3.8
Hollywood Homicide;2.6
Home for Christmas;3.1
Honest;3.0
Hop;2.1
